feature-id	frequency
7c1a69ec58a91e3fdf2e9de0bc5eae02	472
e6d05f36cb472714a61b03945a7c141d	470
29184a1036432c8911c1ae63e3e3ee27	470
d724996723dc2bf194eefa1d2d647a35	468
db023881e1bd7ab35487a35f134ad346	467
5827bef29b521440e65b6476bb43a0be	466
c090a4770354652f40bcbbdd6f369cf0	466
a89e9240939ac7ddfd5aa08576727a69	466
0f3b93c6a924a957a4b11934e8b70e44	465
926d6daeaa7d7ea3c9bb22dd8dc008c1	464
085f84912cdbca901041bdf958c15915	463
116ecbd5c6024284f777585903f45c54	462
b5ff7b62545d620be1f84e058b3efb94	462
54f5a2cd3e3384bf05746153e06348ba	457
7d891eeef5901fc08a0d76b6cef5743e	456
c897280ff1f1fa6aa00b15d946f2bf1d	456
0f85e239f9b218fd9c90807308a72df5	454
f35b214a08398d37deb489a6aa66b3b4	454
6cbcfcbd2cfa8b37ade6593d5c6569f4	453
38f9e9f3dc489d66fccbc7fa6b263016	453
2ce4363c629afc40c5aa3dfca806d5ed	452
fb938cf9f38bf03f785a8b0316791f90	451
2696ea96f3ee33bde9afbbb6177b5380	451
d22fdcf26b8a17a6668eca0bb22a3e21	449
471e62d3be2418ad7a4b47d9ee042ca3	448
02e174d63f37c36b0594294e7d3a66a7	441
f923aecd1a134d6ef5478b526875f3de	438
7f9dec3e514738ad0b6863e247d49da6	437
c1c6decbb66bb8a717f269d6e6c1220c	436
728b3acf0adaebe4f001ce6d30206c61	435
f7c3e3206d6f1564baa363e31924f15d	434
c12b9157c7f9df301c32722b34c5401e	431
260f878521cbd337131fa4f93727e6c0	429
705a4ae0f385a8239d3227bdf6ff9a78	429
19fd45fdc98028d9c666e1cf546a6a94	428
6711f2d8ad301e7add67a8964c14f126	427
32e8e297136166d0b037664bf2db9387	426
09c683bed0c665829d2b6247e1c8af4b	425
